player,team,total_minutes,most_frequent_position
Bukayo Saka,Arsenal,1268,RW
Caio Henrique Oliveira Silva,Monaco,712,LB
Caleb Ekuban,Genoa,180,FW
Caleb Kporha,Crystal Palace,13,WB
Caleb Okoli,Leicester City,800,CB
Caleb Wiley,Strasbourg,266,LB
Callum Bates,Everton,0,
Callum Hudson-Odoi,Nottingham Forest,1406,LW
Callum Olusesi,Tottenham Hotspur,0,
Callum Wilson,Newcastle United,61,FW
Calvin Bassey,Fulham,1710,CB
Cameron Archer,Southampton,878,FW
Cameron Burgess,Ipswich Town,810,CB
Can Uzun,Eintracht Frankfurt,243,AM
Caoimhín Kelleher,Liverpool,720,GK
Carl Johansson,Holstein Kiel,365,CB
Carl Klaus,Union Berlin,0,
Carl Rushworth,Brighton & Hove Albion,0,
Carl Starfelt,Celta Vigo,1446,CB
Carlens Arcus,Angers,1351,RB
Carles Aleñá,Getafe,373,AM
Carles Pérez,Getafe,1078,RM
Carlo Boukhalfa,St. Pauli,1006,CM
Carlo Pinsoglio,Juventus,0,
Carlos Alcaraz,Southampton,10,CM
Carlos Augusto,Internazionale,489,CB
Carlos Baleba,Brighton & Hove Albion,1252,DM
Carlos Benavídez,Alavés,232,DM
Carlos Dominguez,Celta Vigo,435,CB
Carlos Forbs,Wolverhampton Wanderers,224,AM
Carlos Guirao,Leganés,0,
Carlos Guirao,Real Betis,110,DM
Carlos Gómez,Rennes,280,RM
Carlos Martín,Alavés,678,LW
Carlos Miguel,Nottingham Forest,0,
Carlos Romero,Espanyol,1051,LB
Carlos Soler,Paris Saint-Germain,0,
Carlos Soler,West Ham United,587,AM
Carlos Vicente,Alavés,1593,RW
Carlos Vinícius,Fulham,4,AM
Carmona,Sevilla,1570,RB
Casemiro,Manchester United,837,DM
Casper Tengstedt,Hellas Verona,1045,FW
Castello Lukeba,RB Leipzig,732,CB
Català,Espanyol,0,
Catena,Osasuna,1530,CB
Cedric Zesiger,Wolfsburg,522,CB
Cenk Özkacar,Valencia,0,
Cenk Özkacar,Valladolid,196,CB
Cesare Casadei,Chelsea,0,
Chadi Riad,Crystal Palace,90,CB
Charalambos Lykogiannis,Bologna,428,LB
Charles De Ketelaere,Atalanta,759,AM
Charlie Cresswell,Toulouse,1243,CB
Charlie Taylor,Southampton,266,LB
Che Adams,Torino,1123,FW
Cheick Doucouré,Crystal Palace,381,CM
Cheick Oumar Conde,Venezia,3,CM
Cheikh Fall,Saint-Étienne,0,
Chema,Real Madrid,0,
Chidera Ejuke,Sevilla,543,LW
Chiedozie Ogbene,Ipswich Town,238,RW
Chiquinho,Mallorca,145,LW
Chiquinho,Wolverhampton Wanderers,7,LM
Chris Führich,Stuttgart,844,LW
Chris Richards,Crystal Palace,625,CB
Chris Smalling,Roma,0,
Chris Wood,Nottingham Forest,1573,FW
Chrisantus Uche,Getafe,1399,FW
Chrislain Matsima,Augsburg,947,CB
Christian Corradi,Hellas Verona,0,
Christian Eriksen,Manchester United,625,DM
Christian Früchtl,Lecce,0,
Christian Gytkjær,Venezia,245,FW
Christian Günter,Freiburg,1373,LB
Christian Kabasele,Udinese,832,CB
Christian Kouamé,Fiorentina,569,AM
Christian Mawissa,Monaco,470,LB
Christian Nørgaard,Brentford,1379,CM
Christian Pehlivanov,Lecce,0,
Christian Pulisic,Milan,525,RW
Christian Walton,Ipswich Town,270,GK
Christoph Baumgartner,RB Leipzig,832,AM
Christopher Lenz,Hoffenheim,0,
Christopher Nkunku,Chelsea,402,FW
Christopher Operi,Le Havre,1169,LB
Christopher Trimmel,Union Berlin,856,WB
Christopher Wooh,Rennes,965,CB
Christos Alexiou,Internazionale,0,
Christos Mandas,Lazio,0,
Christos Papadopoulos,Genoa,0,
Christos Papadopoulos,Juventus,0,
Chuky san jose,Valladolid,89,CM
Cieran Slicker,Ipswich Town,0,
Claudio Turi,Napoli,0,
Clinton Mata,Lyon,1177,CB
Clément Akpa,Auxerre,1246,CB
Clément Lenglet,Atlético Madrid,833,CB
Coba da Costa,Getafe,346,LM
Cody Gakpo,Liverpool,990,LW
Cole Campbell,Dortmund,22,LB
Cole Palmer,Chelsea,1747,AM
Coli Saco,Napoli,0,
Connor Metcalfe,St. Pauli,227,CM
Conor Bradley,Liverpool,241,RB
Conor Chaplin,Ipswich Town,614,AM
Conor Coady,Leicester City,712,CB
Conor Gallagher,Atlético Madrid,857,CM
